election_term,state,seat_code,seat_name,total_votes_cast,voter_turnout_percentage,majority,total_registered_voters,absent_voters
ge12,Perlis,P.001,Padang Besar,29310,0.8,5348,36614,7304
ge12,Perlis,P.002,Kangar,34946,0.802,13671,43589,8643
ge12,Perlis,P.003,Arau,33276,0.834,300,39875,6599
ge12,Kedah,P.004,Langkawi,23273,0.787,4970,29568,6295
ge12,Kedah,P.005,Jerlun,37297,0.82,2205,45511,8214
ge12,Kedah,P.006,Kubang Pasu,42353,0.794,7060,53321,10968
ge12,Kedah,P.007,Padang Terap,30445,0.86,369,35401,4956
ge12,Kedah,P.008,Pokok Sena,55318,0.794,5731,69634,14316
ge12,Kedah,P.009,Alor Setar,43206,0.733,184,58960,15754
ge12,Kedah,P.010,Kuala Kedah,65750,0.791,7018,83133,17383
ge12,Kedah,P.011,Pendang,51645,0.842,4073,61343,9698
ge12,Kedah,P.012,Jerai,51913,0.79,2299,65737,13824
ge12,Kedah,P.013,Sik,33859,0.839,481,40337,6478
ge12,Kedah,P.014,Merbok,49718,0.772,3098,64443,14725
ge12,Kedah,P.015,Sungai Petani,59378,0.778,9381,76282,16904
ge12,Kedah,P.016,Baling,65764,0.835,7613,78787,13023
ge12,Kedah,P.017,Padang Serai,47124,0.796,11738,59215,12091
ge12,Kedah,P.018,Kulim-Bandar Baharu,40182,0.773,5583,51995,11813
ge12,Kelantan,P.019,Tumpat,65254,0.815,9377,80076,14822
ge12,Kelantan,P.020,Pengkalan Chepa,43049,0.822,11311,52351,9302
ge12,Kelantan,P.021,Kota Bharu,53710,0.787,11288,68263,14553
ge12,Kelantan,P.022,Pasir Mas,49344,0.827,8991,59637,10293
ge12,Kelantan,P.023,Rantau Panjang,35451,0.781,4486,45385,9934
ge12,Kelantan,P.024,Kubang Kerian,44474,0.831,10642,53492,9018
ge12,Kelantan,P.025,Bachok,55724,0.86,2901,64810,9086
ge12,Kelantan,P.026,Ketereh,44377,0.85,400,52238,7861
ge12,Kelantan,P.027,Tanah Merah,36126,0.815,1584,44348,8222
ge12,Kelantan,P.028,Pasir Puteh,53778,0.835,3968,64389,10611
ge12,Kelantan,P.029,Machang,41494,0.844,1460,49157,7663
ge12,Kelantan,P.030,Jeli,30555,0.842,4436,36297,5742
ge12,Kelantan,P.031,Kuala Krai,43013,0.823,4984,52250,9237
ge12,Kelantan,P.032,Gua Musang,24283,0.838,4394,28987,4704
ge12,Terengganu,P.033,Besut,49303,0.845,10590,58353,9050
ge12,Terengganu,P.034,Setiu,46821,0.859,7232,54519,7698
ge12,Terengganu,P.035,Kuala Nerus,52539,0.858,1341,61212,8673
ge12,Terengganu,P.036,Kuala Terengganu,66231,0.824,628,80328,14097
ge12,Terengganu,P.037,Marang,65008,0.869,2747,74816,9808
ge12,Terengganu,P.038,Hulu Terengganu,45971,0.875,10460,52514,6543
ge12,Terengganu,P.039,Dungun,54464,0.84,4994,64853,10389
ge12,Terengganu,P.040,Kemaman,62868,0.838,12683,75003,12135
ge12,Pulau Pinang,P.041,Kepala Batas,36328,0.844,11246,43017,6689
ge12,Pulau Pinang,P.042,Tasek Gelugor,37308,0.839,4547,44467,7159
ge12,Pulau Pinang,P.043,Bagan,46227,0.778,22070,59387,13160
ge12,Pulau Pinang,P.044,Permatang Pauh,47963,0.821,13398,58448,10485
