election_term,state,seat_code,seat_name,total_votes_cast,voter_turnout_percentage,majority,total_registered_voters,absent_voters
ge15,Perlis,P.001,Padang Besar,36706,0.609815258,12514,60192,23486
ge15,Perlis,P.002,Kangar,56200,0.750744733,9192,74859,18659
ge15,Perlis,P.003,Arau,46791,0.768628031,23216,60876,14085
ge15,Kedah,P.004,Langkawi,47660,0.713718795,13518,66777,19117
ge15,Kedah,P.005,Jerlun,52207,0.772281475,20456,67601,15394
ge15,Kedah,P.006,Kubang Pasu,83402,0.77069222,31584,108217,24815
ge15,Kedah,P.007,Padang Terap,48629,0.813112397,10959,59806,11177
ge15,Kedah,P.008,Pokok Sena,87944,0.765809227,31751,114838,26894
ge15,Kedah,P.009,Alor Setar,76986,0.726324132,9931,105994,29008
ge15,Kedah,P.010,Kuala Kedah,100475,0.758301887,28061,132500,32025
ge15,Kedah,P.011,Pendang,75594,0.799538854,31289,94547,18953
ge15,Kedah,P.012,Jerai,82293,0.783735393,33192,105001,22708
ge15,Kedah,P.013,Sik,51161,0.810458448,21787,63126,11965
ge15,Kedah,P.014,Merbok,102544,0.774244209,21019,132444,29900
ge15,Kedah,P.015,Sungai Petani,130004,0.769951495,1115,168847,38843
ge15,Kedah,P.016,Baling,109064,0.825623207,29137,132099,23035
ge15,Kedah,P.017,Padang Serai,91416,0.682886746,16260,133867,42451
ge15,Kedah,P.018,Kulim-Bandar Baharu,70340,0.780333034,13061,90141,19801
ge15,Kelantan,P.019,Tumpat,104659,0.700664788,34793,149371,44712
ge15,Kelantan,P.020,Pengkalan Chepa,77761,0.726860593,38270,106982,29221
ge15,Kelantan,P.021,Kota Bharu,78019,0.675781724,22613,115450,37431
ge15,Kelantan,P.022,Pasir Mas,65153,0.689128871,30717,94544,29391
ge15,Kelantan,P.023,Rantau Panjang,60257,0.646201527,20636,93248,32991
ge15,Kelantan,P.024,Kubang Kerian,81384,0.716156283,40847,113640,32256
ge15,Kelantan,P.025,Bachok,89417,0.725887501,29901,123183,33766
ge15,Kelantan,P.026,Ketereh,62862,0.737116122,23107,85281,22419
ge15,Kelantan,P.027,Tanah Merah,69686,0.70545241,44485,98782,29096
ge15,Kelantan,P.028,Pasir Puteh,80978,0.71617582,29109,113070,32092
ge15,Kelantan,P.029,Machang,65114,0.733059386,10154,88825,23711
ge15,Kelantan,P.030,Jeli,42953,0.718301615,12464,59798,16845
ge15,Kelantan,P.031,Kuala Krai,64681,0.700503601,25188,92335,27654
ge15,Kelantan,P.032,Gua Musang,48377,0.688601361,163,70254,21877
ge15,Terengganu,P.033,Besut,85364,0.764567846,18666,111650,26286
ge15,Terengganu,P.034,Setiu,84832,0.79064999,19032,107294,22462
ge15,Terengganu,P.035,Kuala Nerus,87628,0.82705376,29765,105952,18324
ge15,Terengganu,P.036,Kuala Terengganu,96552,0.78303394,40907,123305,26753
ge15,Terengganu,P.037,Marang,109068,0.827802908,41729,131756,22688
ge15,Terengganu,P.038,Hulu Terengganu,72008,0.819045236,15734,87917,15909
ge15,Terengganu,P.039,Dungun,91269,0.789804342,34105,115559,24290
ge15,Terengganu,P.040,Kemaman,113095,0.811164585,27179,139423,26328
ge15,Pulau Pinang,P.041,Kepala Batas,69302,0.834149806,2867,83081,13779
ge15,Pulau Pinang,P.042,Tasek Gelugor,67112,0.829895632,12252,80868,13756
ge15,Pulau Pinang,P.043,Bagan,68654,0.767538319,49648,89447,20793
ge15,Pulau Pinang,P.044,Permatang Pauh,88256,0.823391115,5272,107186,18930
ge15,Pulau Pinang,P.045,Bukit Mertajam,92745,0.767635885,57685,120819,28074
ge15,Pulau Pinang,P.046,Batu Kawan,68831,0.775019142,40400,88812,19981
ge15,Pulau Pinang,P.047,Nibong Tebal,79308,0.792588595,16293,100062,20754
ge15,Pulau Pinang,P.048,Bukit Bendera,62489,0.675403422,42610,92521,30032
ge15,Pulau Pinang,P.049,Tanjong,37683,0.713652633,28754,52803,15120
ge15,Pulau Pinang,P.050,Jelutong,70707,0.752290162,38604,93989,23282
ge15,Pulau Pinang,P.051,Bukit Gelugor,86073,0.734825072,63112,117134,31061
ge15,Pulau Pinang,P.052,Bayan Baru,89703,0.749774323,34902,119640,29937
ge15,Pulau Pinang,P.053,Balik Pulau,63911,0.796259843,1582,80264,16353
ge15,Perak,P.054,Gerik,35282,0.741763902,1377,47565,12283
ge15,Perak,P.055,Lenggong,28122,0.761082544,879,36950,8828
ge15,Perak,P.056,Larut,52610,0.800529527,11598,65719,13109
ge15,Perak,P.057,Parit Buntar,53495,0.780926104,5395,68502,15007
ge15,Perak,P.058,Bagan Serai,63428,0.789956783,18551,80293,16865
ge15,Perak,P.059,Bukit Gantang,72600,0.770267259,12756,94253,21653
